,amount,date,formatted_date,type,ticker,numerator,denominator,splitRatio
2892,0.593945,1499346000,2017-07-06,DIVIDEND,CEEB3,,,
2893,0.290169,1367326800,2013-04-30,DIVIDEND,CEEB3,,,
2894,0.710101,1546862400,2019-01-07,DIVIDEND,CEEB3,,,
2895,1.22055,1254402000,2009-10-01,DIVIDEND,CEEB3,,,
2896,0.60076,1470402000,2016-08-05,DIVIDEND,CEEB3,,,
2897,1.45101,1285938000,2010-10-01,DIVIDEND,CEEB3,,,
2898,0.413174,1434978000,2015-06-22,DIVIDEND,CEEB3,,,
2899,0.60076,1482321600,2016-12-21,DIVIDEND,CEEB3,,,
2900,0.117002,1277989200,2010-07-01,DIVIDEND,CEEB3,,,
2901,1.84922,1550667600,2019-02-20,DIVIDEND,CEEB3,,,
2902,,1197288000,2007-12-10,SPLIT,CEEB3,1.0,100.0,100/1
2903,0.085496,1427115600,2015-03-23,DIVIDEND,ENMT4,,,
2904,0.421833,1557320400,2019-05-08,DIVIDEND,ENMT4,,,
2905,0.58533,1534338000,2018-08-15,DIVIDEND,ENMT4,,,
2906,0.130447,1272632400,2010-04-30,DIVIDEND,ENMT4,,,
2907,0.085295,1438347600,2015-07-31,DIVIDEND,ENMT4,,,
2908,0.031363,1573646400,2019-11-13,DIVIDEND,ENMT4,,,
2909,0.50066,1542196800,2018-11-14,DIVIDEND,ENMT4,,,
2910,0.001428,1461762000,2016-04-27,DIVIDEND,ENMT4,,,
2911,0.014458,1430398800,2015-04-30,DIVIDEND,ENMT4,,,
2912,0.169816,1324555200,2011-12-22,DIVIDEND,ENMT4,,,
2913,1.04988,1529413200,2018-06-19,DIVIDEND,ENMT4,,,
2914,0.68,1560949200,2019-06-19,DIVIDEND,ENMT4,,,
2915,0.148417,1493989200,2017-05-05,DIVIDEND,ENMT4,,,
2916,0.09904,1525438800,2018-05-04,DIVIDEND,ENMT4,,,
2917,0.085496,1427115600,2015-03-23,DIVIDEND,ENMT3,,,
2918,0.421833,1557320400,2019-05-08,DIVIDEND,ENMT3,,,
2919,0.58533,1534338000,2018-08-15,DIVIDEND,ENMT3,,,
2920,0.118588,1272632400,2010-04-30,DIVIDEND,ENMT3,,,
2921,0.002882,1207659600,2008-04-08,DIVIDEND,ENMT3,,,
2922,0.085295,1438347600,2015-07-31,DIVIDEND,ENMT3,,,
2923,0.711363,1573646400,2019-11-13,DIVIDEND,ENMT3,,,
2924,0.50066,1542196800,2018-11-14,DIVIDEND,ENMT3,,,
2925,0.043012,1241442000,2009-05-04,DIVIDEND,ENMT3,,,
2926,0.001428,1461762000,2016-04-27,DIVIDEND,ENMT3,,,
2927,0.014458,1430398800,2015-04-30,DIVIDEND,ENMT3,,,
2928,0.1816,1324555200,2011-12-22,DIVIDEND,ENMT3,,,
2929,1.04988,1529413200,2018-06-19,DIVIDEND,ENMT3,,,
2930,0.040126,1554816600,2019-04-09,DIVIDEND,SHUL3,,,
