,date,high,low,open,close,volume,adjclose,formatted_date,ticker,type
973,1064494800,16203.0,15775.0,16058.0,15806.0,0.0,15806.0,2003-09-25,^BVSP,INDEX
974,1064581200,16113.0,15773.0,15807.0,15811.0,0.0,15811.0,2003-09-26,^BVSP,INDEX
975,1064840400,16115.0,15768.0,15810.0,16109.0,0.0,16109.0,2003-09-29,^BVSP,INDEX
976,1064926800,16287.0,16010.0,16109.0,16011.0,0.0,16011.0,2003-09-30,^BVSP,INDEX
977,1065013200,16609.0,16010.0,16010.0,16579.0,0.0,16579.0,2003-10-01,^BVSP,INDEX
978,1065099600,17070.0,16582.0,16582.0,16894.0,0.0,16894.0,2003-10-02,^BVSP,INDEX
979,1065186000,17290.0,16898.0,16898.0,17089.0,0.0,17089.0,2003-10-03,^BVSP,INDEX
980,1065445200,17346.0,17026.0,17090.0,17273.0,0.0,17273.0,2003-10-06,^BVSP,INDEX
981,1065531600,17537.0,17134.0,17278.0,17470.0,0.0,17470.0,2003-10-07,^BVSP,INDEX
982,1065618000,17952.0,17474.0,17474.0,17805.0,0.0,17805.0,2003-10-08,^BVSP,INDEX
983,1065704400,18060.0,17553.0,17805.0,17708.0,0.0,17708.0,2003-10-09,^BVSP,INDEX
984,1065790800,17834.0,17496.0,17699.0,17676.0,0.0,17676.0,2003-10-10,^BVSP,INDEX
985,1066050000,18075.0,17676.0,17676.0,18062.0,0.0,18062.0,2003-10-13,^BVSP,INDEX
986,1066136400,18246.0,18063.0,18063.0,18178.0,0.0,18178.0,2003-10-14,^BVSP,INDEX
987,1066222800,18313.0,17819.0,18176.0,17942.0,0.0,17942.0,2003-10-15,^BVSP,INDEX
988,1066309200,18075.0,17834.0,17944.0,17955.0,0.0,17955.0,2003-10-16,^BVSP,INDEX
989,1066395600,17946.0,17679.0,17923.0,17791.0,0.0,17791.0,2003-10-17,^BVSP,INDEX
990,1066651200,18399.0,17770.0,17791.0,18370.0,0.0,18370.0,2003-10-20,^BVSP,INDEX
991,1066737600,18660.0,18370.0,18370.0,18449.0,0.0,18449.0,2003-10-21,^BVSP,INDEX
992,1066824000,18449.0,18221.0,18449.0,18235.0,0.0,18235.0,2003-10-22,^BVSP,INDEX
993,1066910400,18235.0,17592.0,18235.0,17690.0,0.0,17690.0,2003-10-23,^BVSP,INDEX
994,1066996800,17835.0,17340.0,17687.0,17814.0,0.0,17814.0,2003-10-24,^BVSP,INDEX
995,1067256000,17964.0,17664.0,17820.0,17750.0,0.0,17750.0,2003-10-27,^BVSP,INDEX
996,1067342400,18228.0,17691.0,17750.0,18228.0,0.0,18228.0,2003-10-28,^BVSP,INDEX
997,1067428800,18454.0,17945.0,18228.0,17945.0,0.0,17945.0,2003-10-29,^BVSP,INDEX
998,1067515200,18193.0,17731.0,17945.0,18094.0,0.0,18094.0,2003-10-30,^BVSP,INDEX
999,1067601600,18218.0,17912.0,18095.0,17982.0,0.0,17982.0,2003-10-31,^BVSP,INDEX
1000,1067860800,18517.0,17983.0,17983.0,18517.0,0.0,18517.0,2003-11-03,^BVSP,INDEX
1001,1067947200,18714.0,18456.0,18519.0,18541.0,0.0,18541.0,2003-11-04,^BVSP,INDEX
1002,1068033600,18563.0,18267.0,18545.0,18307.0,0.0,18307.0,2003-11-05,^BVSP,INDEX
1003,1068120000,18680.0,18307.0,18307.0,18613.0,0.0,18613.0,2003-11-06,^BVSP,INDEX
1004,1068206400,18907.0,18614.0,18614.0,18672.0,0.0,18672.0,2003-11-07,^BVSP,INDEX
1005,1068465600,18725.0,18435.0,18672.0,18572.0,0.0,18572.0,2003-11-10,^BVSP,INDEX
1006,1068552000,18572.0,18261.0,18572.0,18409.0,0.0,18409.0,2003-11-11,^BVSP,INDEX
1007,1068638400,18812.0,18352.0,18409.0,18794.0,0.0,18794.0,2003-11-12,^BVSP,INDEX
